source_message_index,event_id,session_type,message_timestamp,message_lap,message,process_status,car_numbers,car_count,location,incident_lap_explicit,incident_family
1816,2019-aut,Race,2019-06-30 06:19:43-07:00,6.0,"LAP 1,TURN 5 INCIDENT INVOLVING CARS 4 (NOR) AND 7 (RAI) NOTED - NO INVESTIGATION NECESSARY",no_investigation,4|7,2,Turn 5,1.0,other
1817,2019-aut,Race,2019-06-30 06:21:34-07:00,8.0,INCIDENT INVOLVING CAR 20 (MAG) UNDER INVESTIGATION - OUT OF POSITION AT THE START,investigation,20,1,,,other
1818,2019-aut,Race,2019-06-30 06:27:11-07:00,13.0,DRIVE THROUGH PENALTY FOR CAR 20 (MAG) - OUT OF POSITION AT THE START,sanction_announced,20,1,,,other
1907,2019-aut,Race,2019-06-30 07:32:46-07:00,70.0,TURN 3 INCIDENT INVOLVING CARS 16 (LEC) AND 33 (VER) NOTED,noted,16|33,2,Turn 3,,other
1913,2019-aut,Race,2019-06-30 07:35:08-07:00,71.0,TURN 3 INCIDENT INVOLVING CARS 16 (LEC) AND 33 (VER) UNDER INVESTIGATION,investigation,16|33,2,Turn 3,,other
1936,2019-aze,Race,2019-04-28 05:23:54-07:00,6.0,INCIDENT INVOLVING CAR 88 (KUB) UNDER INVESTIGATION - START PROCEDURE,investigation,88,1,,,other
1938,2019-aze,Race,2019-04-28 05:38:26-07:00,14.0,DRIVE THROUGH PENALTY FOR CAR 88 (KUB) - CAR BEING DRIVEN TO PIT EXIT EARLY,sanction_announced,88,1,Pit Lane,,other
1954,2019-aze,Race,2019-04-28 06:13:50-07:00,34.0,TURN 3 INCIDENT INVOLVING CARS 3 (RIC) AND 26 (KVY) UNDER INVESTIGATION,investigation,3|26,2,Turn 3,,other
1958,2019-aze,Race,2019-04-28 06:19:06-07:00,37.0,TURN 3 INCIDENT INVOLVING CARS 3 (RIC) AND 26 (KVY) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,3|26,2,Turn 3,,other
2023,2019-bel,Race,2019-09-01 06:26:35-07:00,6.0,"LAP 1, TURN 1 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) NOTED - NO INVESTIGATION NECESSARY",no_investigation,7|33,2,Turn 1,1.0,other
2024,2019-bel,Race,2019-09-01 06:27:08-07:00,6.0,"LAP 1, TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 18 (STR) NOTED - NO INVESTIGATION NECESSARY",no_investigation,3|18,2,Turn 1,1.0,other
2025,2019-bel,Race,2019-09-01 06:28:04-07:00,6.0,"LAP 1, TURN 1 CARS RUNNING WIDE NOTED - NO INVESTIGATION NECESSARY",no_investigation,,0,Turn 1,,other
2028,2019-bel,Race,2019-09-01 06:34:15-07:00,10.0,TURN 5 INCIDENT INVOLVING CAR 16 (LEC) NOTED,noted,16,1,Turn 5,,other
2029,2019-bel,Race,2019-09-01 06:35:38-07:00,11.0,TURN 5 INCIDENT INVOLVING CAR 16 (LEC) - NO INVESTIGATION NECESSARY,no_investigation,16,1,Turn 5,,other
